scrape_id,store,product_name,brand,current_price,original_price,currency,product_type,category,subcategory,weight_value,weight_unit,discount,product_url,availability,scraped_at
429,Seoudi Supermarket,Almarai Cheddar Cheese Slices for Sandwich,Almarai,159.95,,EGP,Cheese,Cheese & Labneh,,10,pieces,,https://seoudisupermarket.com/en/almarai-cheddar-cheese-slices-10-pieces,Out of Stock,9/14/2026 18:46
430,Seoudi Supermarket,Almarai Burger Cheese Slices,Almarai,159.95,,EGP,Cheese,Cheese & Labneh,,10,pieces,,https://seoudisupermarket.com/en/almarai-burger-cheese-slices-10-pieces,Out of Stock,9/14/2026 18:46
431,Seoudi Supermarket,La Vache Qui Rit Creamy Cheese Spread Jar,La Vache Qui Rit,218.95,,EGP,Cheese,Cheese & Labneh,Creamy Cheese,500,g,,https://seoudisupermarket.com/en/la-vache-qui-rit-creamy-cheese-spread-jar-500-g,Out of Stock,9/14/2026 18:46
432,Seoudi Supermarket,Dodoni Low Salt Feta Cheese,Dodoni,288,,EGP,Cheese,Cheese & Labneh,Feta,200,g,,https://seoudisupermarket.com/en/dodoni-low-salt-feta-cheese-200-g,Out of Stock,9/14/2026 18:46
433,Seoudi Supermarket,Alasdekaa Cottage Cheese,Alasdekaa,109.95,,EGP,Cheese,Cheese & Labneh,Cottage Cheese,800,g,,https://seoudisupermarket.com/en/alasdekaa-cottage-cheese-800-g,Out of Stock,9/14/2026 18:46
434,Seoudi Supermarket,Domty Feta Cheese with Pepper,Domty,45.33,54,EGP,Cheese,Cheese & Labneh,Feta,500,g,16,https://seoudisupermarket.com/en/domty-feta-cheese-with-pepper-500-g,Out of Stock,9/14/2026 18:46
435,Seoudi Supermarket,Domty Feta Cheese with Pepper,Domty,22.75,27.25,EGP,Cheese,Cheese & Labneh,Feta,250,g,17,https://seoudisupermarket.com/en/domty-feta-cheese-with-pepper-250-g,Out of Stock,9/14/2026 18:46
436,Seoudi Supermarket,Domty Creamy Cheese with Jalapeno,Domty,136.5,149.5,EGP,Cheese,Cheese & Labneh,Creamy Cheese,380,g,9,https://seoudisupermarket.com/en/domty-creamy-cheese-with-jalapeno-380-g,Out of Stock,9/14/2026 18:46
437,Seoudi Supermarket,Domty Creamy Cheese with Honey,Domty,136.5,149.5,EGP,Cheese,Cheese & Labneh,Creamy Cheese,380,g,9,https://seoudisupermarket.com/en/domty-creamy-cheese-with-honey-380-g,Out of Stock,9/14/2026 18:46
438,Seoudi Supermarket,Domty Cream Cheese with Honey,Domty,79.95,99.95,EGP,Cheese,Cheese & Labneh,Cream Cheese,220,g,20,https://seoudisupermarket.com/en/domty-cream-cheese-with-honey-220-g,Out of Stock,9/14/2026 18:46
439,Seoudi Supermarket,Alasdekaa Cheese with Cheddar,Alasdekaa,97.95,101.95,EGP,Cheese,Cheese & Labneh,,270,g,4,https://seoudisupermarket.com/en/alasdekaa-cheese-with-cheddar-270-g,Out of Stock,9/14/2026 18:46
440,Seoudi Supermarket,Alasdekaa Cheese with Cream,Alasdekaa,97.95,101.95,EGP,Cheese,Cheese & Labneh,,270,g,4,https://seoudisupermarket.com/en/alasdekaa-cheese-with-cream-270-g,Out of Stock,9/14/2026 18:46
